experimento_id,timestamp,modelo,hiperparametros,arquitectura,precision_train,recall_train,f1_train,accuracy_train,precision_test,recall_test,f1_test,accuracy_test
RF_01,2026-06-30 22:10:57,random_forest,"{'n_estimators': 100, 'max_depth': 5}",Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_02,2026-06-30 22:10:58,random_forest,"{'n_estimators': 200, 'max_depth': 10}",Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_03,2026-06-30 22:11:00,random_forest,"{'n_estimators': 300, 'max_depth': None}",Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_04,2026-06-30 22:11:01,random_forest,"{'n_estimators': 150, 'max_depth': 8, 'min_samples_leaf': 2}",Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_05,2026-06-30 22:11:04,random_forest,"{'n_estimators': 400, 'max_depth': 15, 'max_features': 'sqrt'}",Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_01,2026-06-30 22:11:04,xgboost,"{'n_estimators': 100, 'max_depth': 1, 'learning_rate': 0.1}",XGBoost,1.0,1.0,1.0,1.0,0.9743589743589745,0.9761904761904763,0.974320987654321,0.9722222222222222
XGB_02,2026-06-30 22:11:05,xgboost,"{'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05}",XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_03,2026-06-30 22:11:06,xgboost,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'subsample': 0.8}",XGBoost,1.0,1.0,1.0,1.0,0.9743589743589745,0.9761904761904763,0.974320987654321,0.9722222222222222
XGB_04,2026-06-30 22:11:07,xgboost,"{'n_estimators': 150, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_05,2026-06-30 22:11:09,xgboost,"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.05, 'reg_lambda': 1.5}",XGBoost,1.0,1.0,1.0,1.0,0.9743589743589745,0.9761904761904763,0.974320987654321,0.9722222222222222
NN_01,2026-06-30 22:11:12,neural_network,"{'lr': 0.001, 'batch_size': 16, 'epochs': 5, 'dropout': 0.0}",[64] + softmax | lr=0.001 | batch=16 | epochs=5 | dropout=0.0,0.9494659652478877,0.9590643274853802,0.9519294763924734,0.9507042253521126,0.8607226107226107,0.8714285714285714,0.8593939393939394,0.8611111111111112
NN_02,2026-06-30 22:11:20,neural_network,"{'lr': 0.001, 'batch_size': 16, 'epochs': 10, 'dropout': 0.3}","[64, 32] + softmax | lr=0.001 | batch=16 | epochs=10 | dropout=0.3",0.9914529914529915,0.9941520467836257,0.992721143163621,0.9929577464788732,0.9583333333333334,0.9388888888888888,0.9457411645054665,0.9444444444444444
NN_03,2026-06-30 22:11:24,neural_network,"{'lr': 0.001, 'batch_size': 32, 'epochs': 15, 'dropout': 0.2}","[128, 64] + softmax | lr=0.001 | batch=32 | epochs=15 | dropout=0.2",0.9914529914529915,0.9941520467836257,0.992721143163621,0.9929577464788732,0.9583333333333334,0.9333333333333332,0.9407407407407407,0.9444444444444444
NN_04,2026-06-30 22:11:27,neural_network,"{'lr': 0.0005, 'batch_size': 16, 'epochs': 8, 'dropout': 0.1}","[64, 64, 32] + softmax | lr=0.0005 | batch=16 | epochs=8 | dropout=0.1",0.9763888888888888,0.9824561403508771,0.9789352105141579,0.9788732394366197,0.9222222222222222,0.915079365079365,0.9176911544227887,0.9166666666666666
NN_05,2026-06-30 22:11:31,neural_network,"{'lr': 0.01, 'batch_size': 32, 'epochs': 25, 'dropout': 0.5}","[32, 16] + softmax | lr=0.01 | batch=32 | epochs=25 | dropout=0.5",1.0,1.0,1.0,1.0,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.9722222222222222
